Nr.;Gericht;Beschreibung;Preis (€)
S1;Linsensuppe (Mercimek);mit Brotbeilage;7.0
S2;Tagessuppe;mit Brotbeilage (bitte nachfragen);8.0
05;Ispanak Ezmesi;Spinat, Quark, Knoblauch;6.0
06;Gefüllte Weinblätter;mit Tzatziki;6.0
07;Calamari;frittiert;9.0
03;Falafel-Tasche;mit Salat & Sauce;6.0
04;Falafel-Teller;mit Salat, Sauce & Pommes oder Reis;11.0
01;Chicken Nuggets 6 Stk.;mit Pommes & Salat;7.0
02;Chicken Nuggets Menü;6 Stk. mit Pommes & Softdrink (0,33 l);9.5
08;Antep Ezmesi;Scharfe Sauce mit Paprika;8.5
09;Sigara Böreği (4 Stk.);;6.0
10;Karisik Kizartma;Kartoffeln, Zucchini;9.0
11;Großer gemischter Vorspeisenteller;;11.0
12;Döner-Tasche;mit Salat & Sauce;7.0
13;Döner-Tasche im halben Fladenbrot;;7.0
14;Salat-Tasche;;4.5
15;Döner-Dürüm;im Fladenbrot;7.5
15a;Pommes-Döner;mit Sauce, Tzatziki & Pommes in der Box;8.5
16;Kinder-Döner-Teller;mit Salat, Tzatziki & Pommes;10.0
17;Döner (Kalb);Pommes nur Fleisch;12.5
18;Döner-Teller komplett;mit Reis oder Pommes;13.0
19;Iskender-Döner;Döner mit Sauce & Joghurt;15.0
20;Hackfleischspieß (Adana Kebap);;18.0
21;Fleischspieß (Kuzu Sis);;19.0
22;Hähnchenspieß (Tavuk Sis);;16.0
23;Lammkotelett (Pirzola);;21.0
24;Lammrippchen (Kaburga);;21.0
25;Hähnchenschenkel (Tavuk Pizola);;14.0
26;Putenbrust (Hindi Biftek);;15.0
27;Gemischter Grillteller (Karisik Izgara);;22.0
28;Gegrillte Frikadellen (Izgara Köfte);;17.0
29;Großer gemischter Grillteller;Salat & Pommes oder Reis;38.0
30;Döner überbacken I;mit Döner, Tomatensauce, Käse;13.0
31;Döner überbacken II;mit Döner, Champignons, Käse;13.0
